"Année","Identifiant","Type dépôt","Type document","Statut","Auteurs","Titre","Affiliations","Projets","Référence interne","doi","Actes","linkExtId"
2017,"hal-01677578","notice","Article dans une revue",,"Jean-Baptiste Perrier, Sylvie CIMAMONTI","""Réflexions conclusives - Naissance, vie et mort des principes en matière pénale"", in: Dossier : Les nouveaux principes de la matière pénale, Les nouveaux problèmes actuels de sciences criminelles, PUAM, LDPSC Laboratoire de droit privé et de sciences criminelles, ISPEC Institut de sciences pénales et de criminologie, 2017, n° XXVII, pp. 151-155","CMH , LDPSC, UCA, AMU",,,,,
2017,"hal-01678229","notice","Article dans une revue",,"Álvaro París","Alcaldes, langostas y negros en el barrio de la Comadre. Los alcaldes de barrio y la Superintendencia General de Policía en Madrid (1823-1833)","MSH Clermont, UCA, CNRS",,,,,
2017,"hal-01663601","notice","Article dans une revue",,"Mélanie Guérimand","Entre souvenirs et discours de presse : les petites histoires du Grand‑Théâtre de Lyon ","IHRIM, ENS Lyon, UL2, UJML, Université de Lyon, UBP, UJM, UCA, CNRS",,,,,
2017,"hal-01613312","file","Article dans une revue",,"Katarzyna Zawisza, Paulina Sobierajska, Guillaume Renaudin, Jean-Marie Nedelec, Rafael Wiglusz","Effects of crystalline growth on structural and luminescence properties of Ca (10-3x) Eu 2x (PO 4 ) 6 F 2 nanoparticles fabricated by using microwave driven hydrothermal process","Institute of Low Temperature and Structure Research, Polish Academy of Sciences, Wroclaw, ICCF, ICCF, UBP, Sigma CLERMONT, CNRS, UCA",,,"10.1039/C7CE01454F",,
2017,"halshs-01464309","notice","Article dans une revue",,"Nadia YAKHELEF, Martine Audibert, Bruno PEIRERA, Antoine MONS, Emmanuel CHABERT","Cost-utility analysis of vertebroplasty versus thoracolumbosacral orthosis in the treatment of traumatic vertebral fractures","CERDI, Délégation à la recherche clinique et à l’innovation, CHU de Clermont-Ferrand, UdA, CNRS, CHU Clermont-Ferrand, Délégation à la recherche clinique et à l’innovation",,"A2017.02",,,
2017,"hal-01666921","notice","Article dans une revue",,"Bruno Moulia, Christophe Eloy","Comment la lumière et le vent modèlent les arbres","PIAF, IRPHE, INRA, UCA, AMU, ECM, CNRS",,,,,
2017,"hal-01666922","notice","Article dans une revue",,"Nicolas Martin, Sylvain Delzon, Hervé Cochard","Mieux comprendre comment les plantes survivent aux sécheresses","URFM 629, Biodiversité, Gènes et Communautés, PIAF, INRA, UCA",,,,,
2017,"hal-01667016","notice","Article dans une revue",,"Jean-Philippe Luis","Les mutations de la place du parlement dans la construction de l’État libéral espagnol durant la première moitié du xixe siècle ","CHEC, MSH Clermont, UCA, CNRS",,,,,
2017,"hal-01616210","notice","Article dans une revue",,"Robert Bedon","Les premières bibliothèques monastiques en Occident. 4e-6e siècle","EHIC, UBP, IR SHS UNILIM, UNILIM, UCA",,,,,
2017,"hal-01616172","notice","Article dans une revue",,"Robert Bedon","Retour sur l’interprétation d’un texte retrouvé à Limoges sur un plat d’époque augustéenne","EHIC, UBP, IR SHS UNILIM, UNILIM, UCA",,,,,
2017,"halshs-01565233","file","Article dans une revue",,"Amélie CALDERONE","« L’humour débridé de George Sand en privé : le secret bien conservé des premières pantomimes de Nohant »","IHRIM, ENS Lyon, UL2, UJML, Université de Lyon, UBP, UJM, UCA, CNRS",,,,,
2017,"in2p3-01366031","file","Article dans une revue",,"J. Adam, Laurent Aphecetche, B. Audurier, A. Baldisseri, Guillaume Batigne, I. Belikov, H. Borel, J. Castillo Castellanos, J.L. Charvet, C. Cheshkov, J..C Hamon, B. Cheynis, L. Ducroux, B. Erazmus, Magali Estienne, V.J.G. Feuillard, A. Francisco, Marie Germain, B. Hippolyte, C. Kuhn, A. Lardeux, A. Maire, Gines Martinez Garcia, L. Molnar, A. Morreale, H. Pereira Da Costa, Philippe Pillot, F. Rami, A. Rakotozafindrabe, L. Ronflette, C. Roy, Y. Schutz, Alexandre Shabetai, Diego Stocco, B. Teyssier, R. Tieulent, R. Vernet, J. Zhu, G.  Conesa Balbastre, J. Faivre, C. Furget, R. Guernane, C. Silvestre, A. Vauthier, H. Yokoyama, Z. Conesa del Valle, I. Das, B. Espagnon, C. Hadjidakis, I. Lakomov, C. Suire, J. D. Tapia Takaki, M. Tarhini, L. Valencia Palomo, V. Barret, N. Bastid, A. Batista Camejo, P. Crochet, P. Dupieux, X. Lopez, F. Manso, S. Porteboeuf-Houssais, P. Rosnet, B. Vulpescu","Measurement of electrons from beauty-hadron decays in p-Pb collisions at $\mathbf{\sqrt{s_{\rm NN}}=5.02}$ TeV and Pb-Pb collisions at $\mathbf{\sqrt{s_{\rm NN}}=2.76}$ TeV","SUBATECH, IRFU, IPHC, IPNL, CC-IN2P3, LPSC, IPNO, LPC, Mines Nantes, UN, IN2P3, CNRS, CEA, Université Paris-Saclay, UNISTRA, UCBL, Université de Lyon, Grenoble INP [2007-2019], UGA [2016-2019], UP11, UBP",,"SUBATECH-Plasma, LPSC16203","10.1007/JHEP07(2017)052",,"arxiv"
2017,"hal-01657733","notice","Article dans une revue",,"Sébastien Menecier, Eric Collard","Les modules Peltier: A - Théorie et applications","IP, Sigma CLERMONT, CNRS, UCA",,,,,
2017,"hal-01657744","notice","Article dans une revue",,"Sébastien Menecier, Eric Collard"," Les modules Peltier: B - Séance pédagogique","IP, Sigma CLERMONT, CNRS, UCA",,,,,
2017,"hal-01878732","notice","Article dans une revue",,"Tiffany Morisseau, Martial Mermillod, Cécile Eymond, Jean-Baptiste Van Der Henst, Ira Noveck","You can laugh at everything, but not with everyone","CEU, LAPSCO, UPD5, L2C2, CNRS, UBP, ENS Lyon, UCBL, Université de Lyon",,,"10.1075/is.18.1.06mor",,
2017,"hal-01708614","notice","Article dans une revue",,"Marie-Benoît Magrini, Marc Anton, Célia cholez, Gérard Duc, GUENAELLE HELLOU, Marie-Helene Jeuffroy, Jean Marc Meynard, Elise Pelzer, Anne-Sophie Voisin, Stephane Walrand","Transition vers des systèmes agricole et agro-alimentaire durables : quelle place et qualification pour les légumineuses à graines ?","AGIR, BIA, Agroécologie [Dijon], Agronomie, SADAPT, UNH, INRA, Toulouse INP, Université Fédérale Toulouse Midi-Pyrénées, UB, UBFC, AgroSup Dijon - Institut National Supérieur des Sciences Agronomiques, de l'Alimentation et de l'Environnement, AgroParisTech, UCA",,,,,
2017,"hal-01625914","file","Article dans une revue",,"Julien Nègre","From Tracing to Writing: The Maps that Thoreau Copied","IHRIM, UL2, ENS Lyon, CNRS, UBP, UJML, Université de Lyon, UCA, UJM",,,,,
2017,"hal-01625920","notice","Article dans une revue",,"Julien Nègre","A Manuscript Edition in Paris","IHRIM, UL2, ENS Lyon, CNRS, UBP, UJML, Université de Lyon, UCA, UJM",,,,,
2017,"hal-01625612","file","Article dans une revue",,"Lars O. Dragsted, Qian Gao, Giulia Pratico, Claudine Manach, David S Wishart, Augustin Scalbert, Edith J.M. Feskens","Dietary and health biomarkers-time for an update","Department of Nutrition, Exercise and Sports [Copenhagen], UNH, Department of Biological Sciences,  Nutrition and Metabolism Section, Biomarkers Group, Division of Human Nutrition, Faculty of Science [Copenhagen], KU, INRA, UCA, OU, IACR, WUR",,,"10.1186/s12263-017-0578-y",,"openaccess"
